"Date","Open","High","Low","Close","Volume"
2018-12-31,249.559998,250.190002,247.470001,249.919998,144299400
2019-01-02,245.979996,251.210007,245.949997,250.179993,126925200
2019-01-03,248.229996,248.570007,243.669998,244.210007,144140700
2019-01-04,247.589996,253.110001,247.169998,252.389999,142628800
2019-01-07,252.690002,255.949997,251.690002,254.380005,103139100
2019-01-08,256.820007,257.309998,254,256.769989,102512600
2019-01-09,257.559998,258.910004,256.190002,257.970001,95006600
2019-01-10,256.26001,259.160004,255.5,258.880005,96823900
2019-01-11,257.679993,259.01001,257.029999,258.980011,73858100
2019-01-14,256.859985,258.299988,256.410004,257.399994,70908200
2019-01-15,257.820007,260.700012,257.809998,260.350006,85208300
2019-01-16,260.829987,261.970001,260.600006,260.980011,77636700
2019-01-17,260.01001,263.920013,259.959991,262.959991,96118400
2019-01-18,264.980011,266.980011,263,266.459991,127900300
2019-01-22,264.820007,265.059998,261.059998,262.859985,115531200
2019-01-23,264.01001,264.790009,260.660004,263.410004,86030300
2019-01-24,263.209991,264.200012,262.079987,263.549988,59204100
2019-01-25,265.609985,266.700012,263.660004,265.779999,96883400
2019-01-28,263.390015,263.829987,261.790009,263.76001,85613700
2019-01-29,263.920013,264.549988,262.480011,263.410004,66136300
2019-01-30,265.100006,268.519989,264.25,267.579987,92473700
2019-01-31,267.51001,270.470001,267.269989,269.929993,104012100
2019-02-01,270.149994,271.200012,269.179993,270.059998,85782500
2019-02-04,270.109985,272.029999,269.359985,271.959991,60744800
2019-02-05,272.440002,273.440002,271.880005,273.100006,79552800
2019-02-06,272.790009,273.339996,271.920013,272.73999,58347800
2019-02-07,270.940002,271.549988,268.290009,270.140015,95482000
2019-02-08,268.75,270.579987,267.829987,270.470001,75788900
2019-02-11,271.200012,271.48999,270.029999,270.619995,68021400
2019-02-12,272.420013,274.519989,272.339996,274.100006,72270200
2019-02-13,275.029999,275.929993,274.559998,274.98999,65277200
2019-02-14,273.779999,275.640015,272.869995,274.380005,83234400
2019-02-15,276.359985,277.410004,276.130005,277.369995,97088700
2019-02-19,276.480011,278.579987,276.470001,277.850006,59120800
2019-02-20,277.809998,278.920013,277.25,278.410004,76610800
2019-02-21,277.700012,278.100006,276.350006,277.420013,64214700
2019-02-22,278.109985,279.359985,277.399994,279.140015,78114600
2019-02-25,280.730011,281.309998,279.429993,279.519989,69030700
2019-02-26,279.130005,280.299988,278.899994,279.320007,56844100
2019-02-27,278.519989,279.589996,277.480011,279.200012,56921600
2019-02-28,278.959991,279.450012,278.320007,278.679993,69268300
2019-03-01,280.440002,280.880005,278.820007,280.420013,78880500
2019-03-04,281.600006,281.869995,276.839996,279.399994,106494600
2019-03-05,279.540009,279.76001,278.410004,279.019989,59114600
2019-03-06,279.149994,279.160004,276.970001,277.329987,75039800
2019-03-07,276.829987,276.98999,274.070007,275.01001,94885100
2019-03-08,272.940002,274.649994,272.420013,274.459991,85795800
2019-03-11,275.26001,278.619995,275.230011,278.440002,65098900
2019-03-12,279.059998,280.070007,278.850006,279.48999,79667500
2019-03-13,280.480011,282.380005,280.299988,281.339996,80639200
2019-03-14,281.369995,281.839996,280.670013,281.160004,67518400
2019-03-15,280.540009,282.209991,280.329987,281.309998,81309000
2019-03-18,281.549988,282.660004,281.299988,282.329987,62199800
2019-03-19,283.51001,284.359985,281.410004,282.399994,90268100
2019-03-20,282.160004,283.5,280.320007,281.549988,84609200
2019-03-21,280.640015,285.179993,280.589996,284.730011,79550400
2019-03-22,283.220001,283.799988,279.179993,279.25,122659300
2019-03-25,278.869995,280.190002,277.640015,279.040009,85575200
2019-03-26,280.98999,282.179993,279.559998,281.119995,68125900
2019-03-27,281.109985,281.76001,277.929993,279.649994,72224700
2019-03-28,280.350006,281.209991,279.070007,280.709991,56238500
2019-03-29,282.390015,282.839996,281.140015,282.480011,82186800
2019-04-01,284.700012,286.160004,284.399994,285.829987,77617900
2019-04-02,286.040009,286.230011,285.089996,285.970001,40070400
2019-04-03,287.320007,287.76001,285.75,286.420013,68243200
2019-04-04,286.779999,287.459991,286.01001,287.179993,48997500
2019-04-05,287.920013,288.630005,287.600006,288.570007,58621700
2019-04-08,288.100006,288.910004,287.369995,288.790009,53566300
2019-04-09,287.720001,288.079987,286.700012,287.309998,66142300
2019-04-10,287.769989,288.390015,287.309998,288.290009,52601500
2019-04-11,288.829987,288.839996,287.579987,288.209991,55093100
2019-04-12,290,290.470001,288.26001,290.160004,69727800
2019-04-15,290.23999,290.350006,289.079987,289.970001,49596700
2019-04-16,290.950012,291.01001,289.5,290.160004,52153200
2019-04-17,291.399994,291.429993,288.98999,289.450012,58268300
2019-04-18,290.100006,290.320007,288.660004,290.019989,68708500
2019-04-22,289.170013,290.440002,289.070007,290.269989,40160100
2019-04-23,290.679993,293.140015,290.420013,292.880005,52246600
2019-04-24,292.790009,293.160004,292.070007,292.230011,50392900
2019-04-25,292.119995,292.779999,290.730011,292.049988,57770900
2019-04-26,292.100006,293.48999,291.23999,293.410004,50916400
2019-04-29,293.51001,294.450012,293.410004,293.869995,57197700
2019-04-30,293.48999,294.339996,291.920013,294.019989,81111700
2019-05-01,294.720001,294.950012,291.799988,291.809998,71671900
2019-05-02,291.679993,292.700012,289.519989,291.179993,65030200
2019-05-03,292.820007,294.339996,291.299988,294.029999,56543700
2019-05-06,289.25,293.309998,288.899994,292.820007,107198100
2019-05-07,290.149994,290.809998,285.809998,287.929993,144729900
2019-05-08,287.529999,289.429993,286.869995,287.529999,91568300
2019-05-09,285.230011,287.329987,283.299988,286.660004,103471100
2019-05-10,285.619995,288.940002,282.299988,288.100006,112429300
2019-05-13,282.420013,283.48999,279.929993,280.859985,127290500
2019-05-14,281.98999,285.100006,281.850006,283.399994,77003200
2019-05-15,281.589996,285.769989,281.359985,285.059998,73956400
2019-05-16,285.839996,289.209991,285.76001,287.700012,76749600
2019-05-17,285.140015,288.600006,285.119995,285.839996,100353000
2019-05-20,284.059998,285.959991,283.119995,283.950012,62877600
2019-05-21,285.829987,286.929993,285.549988,286.51001,46847100
2019-05-22,285.450012,286.690002,285.100006,285.630005,49482500
2019-05-23,283.160004,283.209991,280.570007,282.140015,98733800
2019-05-24,283.73999,284.200012,282.089996,282.779999,55268100
2019-05-28,283.089996,284.149994,280.130005,280.149994,70029400
2019-05-29,278.910004,279.359985,276.709991,278.269989,104972900
